Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,SL,TP,Pips,Result,Confidence,AI_Reasoning,RAG_Context,Graph_Context
2026-04-22 14:25:00,2026-04-22 14:35:00,SHORT,4743.5,4731.5,4749.5,4731.5,1200.0,WIN,85,"SAFEPATH detected (80.4% win rate) aligns with bearish 1H trend and DXY weakness, despite mixed RAG outcomes favoring short-term reversal dominance.",--- MATCH #1 (Distance: 0.0011) --- | PAST TAPE: [14:55 UTC] Session: NY London Overlap | 1H Trend: Bearish (-18.12 pts) | DXY is Falling | Volatility: 6.35 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-8.09 pts) |  | --- MATCH #2 (Distance: 0.0014) --- | PAST TAPE: [14:25 UTC] Session: NY London Overlap | 1H Trend: Bearish (-4.45 pts) | DXY is Falling | Volatility: 8.23 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+7.06 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
2026-04-22 15:35:00,2026-04-22 18:45:00,LONG,4727.6,4739.6,4721.6,4739.6,1200.0,WIN,85,"SAFEPATH detected (80.4% win rate) with NY_London_Overlap breakout alignment, despite mixed RAG outcomes, and no regime/surgical bans apply.",--- MATCH #1 (Distance: 0.0012) --- | PAST TAPE: [15:20 UTC] Session: NY London Overlap | 1H Trend: Bearish (-19.48 pts) | DXY is Rising | Volatility: 9.25 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+7.06 pts) |  | --- MATCH #2 (Distance: 0.0015) --- | PAST TAPE: [15:25 UTC] Session: NY London Overlap | 1H Trend: Bearish (-8.10 pts) | DXY is Rising | Volatility: 8.18 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-6.42 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
2026-04-24 14:55:00,2026-04-24 15:00:00,LONG,4726.09,4722.09,4722.09,4734.09,-400.0,LOSS,78,"NY_London_Overlap with bullish 1H trend (+15.43 pts), falling DXY, and moderate volatility (7.93 pts) aligns with a high-probability SAFEPATH (57.1% win rate) despite historical chop in similar setups, as the RAG shows mixed but favorable continuation potential.",--- MATCH #1 (Distance: 0.0012) --- | PAST TAPE: [14:35 UTC] Session: NY London Overlap | 1H Trend: Bullish (+35.55 pts) | DXY is Falling | Volatility: 11.82 pts | ACTUAL OUTCOME: CHOP / CONSOLIDATION |  | --- MATCH #2 (Distance: 0.0017) --- | PAST TAPE: [14:35 UTC] Session: NY London Overlap | 1H Trend: Bullish (+12.26 pts) | DXY is Falling | Volatility: 7.71 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+12.29 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Medium_SL (57.1% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Tight_SL (52.4% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Wide_SL (55.8% Win Rate)
2026-04-24 15:15:00,2026-04-24 15:40:00,SHORT,4721.09,4727.09,4727.09,4709.09,-600.0,LOSS,85,"SAFEPATH detected (80.4% win rate) with strong historical bearish reversals in NY_London_Overlap during rising DXY and high volatility, despite mixed RAG outcomes.",--- MATCH #1 (Distance: 0.0010) --- | PAST TAPE: [15:55 UTC] Session: NY London Overlap | 1H Trend: Bearish (-8.09 pts) | DXY is Rising | Volatility: 5.95 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+6.45 pts) |  | --- MATCH #2 (Distance: 0.0018) --- | PAST TAPE: [15:20 UTC] Session: NY London Overlap | 1H Trend: Bearish (-9.01 pts) | DXY is Rising | Volatility: 5.60 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-8.25 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
2026-04-28 14:55:00,2026-04-28 15:00:00,SHORT,4574.14,4580.14,4580.14,4562.14,-600.0,LOSS,85,"SAFEPATH detected (80.4% win rate) with strong bearish reversal precedent (Match #1) despite mixed RAG outcomes, aligning with current bearish 1H trend and rising DXY.",--- MATCH #1 (Distance: 0.0012) --- | PAST TAPE: [14:30 UTC] Session: NY London Overlap | 1H Trend: Bearish (-4.82 pts) | DXY is Rising | Volatility: 9.46 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-20.56 pts) |  | --- MATCH #2 (Distance: 0.0015) --- | PAST TAPE: [14:55 UTC] Session: NY London Overlap | 1H Trend: Bearish (-8.88 pts) | DXY is Rising | Volatility: 11.01 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+14.24 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
2026-04-28 15:35:00,2026-04-28 16:00:00,LONG,4578.58,4586.58,4574.58,4586.58,800.0,WIN,89,"NY_London_Overlap with bullish 1H trend, falling DXY, and strong historical precedents for continuation aligns with a high-win-rate Neutral Path (57.1% win rate) while avoiding Danger Nodes.",--- MATCH #1 (Distance: 0.0017) --- | PAST TAPE: [15:15 UTC] Session: NY London Overlap | 1H Trend: Bullish (+13.17 pts) | DXY is Falling | Volatility: 5.72 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+12.30 pts) |  | --- MATCH #2 (Distance: 0.0021) --- | PAST TAPE: [13:25 UTC] Session: NY London Overlap | 1H Trend: Bullish (+2.84 pts) | DXY is Falling | Volatility: 5.70 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+8.05 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Medium_SL (57.1% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Tight_SL (52.4% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Wide_SL (55.8% Win Rate)
2026-04-28 16:55:00,2026-04-28 17:15:00,LONG,4591.9,4587.9,4587.9,4599.9,-400.0,LOSS,89,"NY_London_Overlap with bullish 1H trend, rising DXY, and strong RAG precedents for continuation aligns with the highest win-rate Neutral Path (Medium_SL, 57.1%).",--- MATCH #1 (Distance: 0.0026) --- | PAST TAPE: [16:55 UTC] Session: NY London Overlap | 1H Trend: Bullish (+6.45 pts) | DXY is Rising | Volatility: 2.90 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+5.66 pts) |  | --- MATCH #2 (Distance: 0.0031) --- | PAST TAPE: [16:40 UTC] Session: NY London Overlap | 1H Trend: Bullish (+4.14 pts) | DXY is Rising | Volatility: 4.38 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+9.94 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Medium_SL (57.1% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Tight_SL (52.4% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Wide_SL (55.8% Win Rate)
2026-04-29 13:20:00,2026-04-29 13:35:00,SHORT,4538.01,4526.01,4544.01,4526.01,1200.0,WIN,85,"SAFEPATH detected (80.4% win rate) with NY_London_Overlap breakout alignment, despite mixed RAG outcomes favoring bearish reversals in high-volatility regimes.",--- MATCH #1 (Distance: 0.0023) --- | PAST TAPE: [13:05 UTC] Session: NY London Overlap | 1H Trend: Bearish (-19.69 pts) | Volatility: 6.63 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-18.50 pts) |  | --- MATCH #2 (Distance: 0.0029) --- | PAST TAPE: [14:05 UTC] Session: NY London Overlap | 1H Trend: Bearish (-6.12 pts) | Volatility: 6.96 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+7.41 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
2026-04-29 14:10:00,2026-04-29 14:30:00,LONG,4525.9,4537.9,4519.9,4537.9,1200.0,WIN,85,"SAFEPATH detected (80.4% win rate) with NY_London_Overlap breakout into rising DXY and bearish trend, despite mixed RAG outcomes, as Match #1 strongly favors bullish continuation.",--- MATCH #1 (Distance: 0.0011) --- | PAST TAPE: [14:10 UTC] Session: NY London Overlap | 1H Trend: Bearish (-28.51 pts) | DXY is Rising | Volatility: 6.49 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+47.79 pts) |  | --- MATCH #2 (Distance: 0.0012) --- | PAST TAPE: [15:10 UTC] Session: NY London Overlap | 1H Trend: Bearish (-7.86 pts) | DXY is Rising | Volatility: 6.27 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-7.32 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
2026-04-29 14:40:00,2026-04-29 14:45:00,LONG,4538.27,4534.27,4534.27,4546.27,-400.0,LOSS,89,"NY_London_Overlap with bullish 1H trend, falling DXY, and high historical win rates (57.1%) in Neutral Path aligns with strong precedent for continuation.",--- MATCH #1 (Distance: 0.0015) --- | PAST TAPE: [14:45 UTC] Session: NY London Overlap | 1H Trend: Bullish (+18.28 pts) | DXY is Falling | Volatility: 7.37 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+21.58 pts) |  | --- MATCH #2 (Distance: 0.0017) --- | PAST TAPE: [14:35 UTC] Session: NY London Overlap | 1H Trend: Bullish (+12.26 pts) | DXY is Falling | Volatility: 7.71 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+12.29 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Medium_SL (57.1% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Tight_SL (52.4% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Wide_SL (55.8% Win Rate)
2026-04-30 13:35:00,2026-04-30 13:50:00,SHORT,4623.81,4611.81,4629.81,4611.81,1200.0,WIN,85,"SAFEPATH detected (80.4% win rate) with NY_London_Overlap breakout conditions, reinforced by RAG precedent of strong bearish reversals during DXY rises and bearish 1H trends.",--- MATCH #1 (Distance: 0.0013) --- | PAST TAPE: [15:10 UTC] Session: NY London Overlap | 1H Trend: Bearish (-7.86 pts) | DXY is Rising | Volatility: 6.27 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-7.32 pts) |  | --- MATCH #2 (Distance: 0.0014) --- | PAST TAPE: [13:25 UTC] Session: NY London Overlap | 1H Trend: Bearish (-6.35 pts) | DXY is Rising | Volatility: 8.87 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+6.13 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
2026-04-30 15:50:00,2026-04-30 16:15:00,LONG,4614.13,4608.13,4608.13,4626.13,-600.0,LOSS,85,"SAFEPATH detected (80.4% win rate) with NY_London_Overlap breakout alignment, despite mixed RAG outcomes, as the high-confidence topological path overrides chop risk.",--- MATCH #1 (Distance: 0.0014) --- | PAST TAPE: [14:50 UTC] Session: NY London Overlap | 1H Trend: Bearish (-17.85 pts) | DXY is Rising | Volatility: 11.30 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+16.52 pts) |  | --- MATCH #2 (Distance: 0.0015) --- | PAST TAPE: [15:20 UTC] Session: NY London Overlap | 1H Trend: Bearish (-9.01 pts) | DXY is Rising | Volatility: 5.60 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-8.25 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
2026-05-01 16:40:00,2026-05-01 17:25:00,LONG,4638.34,4632.34,4632.34,4650.34,-600.0,LOSS,85,"SAFEPATH detected (80.4% win rate) with NY_London_Overlap breakout alignment, despite mixed RAG outcomes favoring bullish continuation in high-volatility, DXY-rising regimes.",--- MATCH #1 (Distance: 0.0012) --- | PAST TAPE: [16:40 UTC] Session: NY London Overlap | 1H Trend: Bearish (-6.22 pts) | DXY is Rising | Volatility: 4.36 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+8.45 pts) |  | --- MATCH #2 (Distance: 0.0012) --- | PAST TAPE: [16:35 UTC] Session: NY London Overlap | 1H Trend: Bearish (-0.76 pts) | DXY is Rising | Volatility: 6.43 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-9.59 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
2026-05-05 14:15:00,2026-05-05 14:25:00,LONG,4569.88,4581.88,4563.88,4581.88,1200.0,WIN,85,"SAFEPATH detected with 80.4% win rate in NY_London_Overlap breakout setup, despite RAG showing mixed outcomes (chop vs. strong continuation), with DXY rising and bearish trend as confirmation.",--- MATCH #1 (Distance: 0.0010) --- | PAST TAPE: [14:30 UTC] Session: NY London Overlap | 1H Trend: Bearish (-11.91 pts) | DXY is Rising | Volatility: 11.68 pts | ACTUAL OUTCOME: CHOP / CONSOLIDATION |  | --- MATCH #2 (Distance: 0.0011) --- | PAST TAPE: [14:10 UTC] Session: NY London Overlap | 1H Trend: Bearish (-28.51 pts) | DXY is Rising | Volatility: 6.49 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+47.79 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
2026-05-05 16:05:00,2026-05-05 16:25:00,LONG,4563.97,4557.97,4557.97,4575.97,-600.0,LOSS,92,"SAFEPATH detected (80.4% win rate) with strong RAG precedent for bullish continuation despite bearish 1H trend, validated by rising DXY and NY_London_Overlap session.",--- MATCH #1 (Distance: 0.0012) --- | PAST TAPE: [16:15 UTC] Session: NY London Overlap | 1H Trend: Bearish (-13.86 pts) | DXY is Rising | Volatility: 5.81 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+22.24 pts) |  | --- MATCH #2 (Distance: 0.0013) --- | PAST TAPE: [14:05 UTC] Session: NY London Overlap | 1H Trend: Bearish (-4.38 pts) | DXY is Rising | Volatility: 10.86 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+24.78 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
2026-05-06 13:15:00,2026-05-06 13:30:00,LONG,4682.69,4690.69,4678.69,4690.69,800.0,WIN,92,"NY_London_Overlap with bullish 1H trend, rising DXY, and high-volatility context aligns with RAG precedents (99.8% match) showing strong bullish continuation, while the Medium_SL Neutral Path offers the optimal risk-reward balance (57.1% win rate).",--- MATCH #1 (Distance: 0.0013) --- | PAST TAPE: [13:15 UTC] Session: NY London Overlap | 1H Trend: Bullish (+1.75 pts) | DXY is Rising | Volatility: 8.81 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+6.64 pts) |  | --- MATCH #2 (Distance: 0.0014) --- | PAST TAPE: [13:20 UTC] Session: NY London Overlap | 1H Trend: Bullish (+2.16 pts) | DXY is Rising | Volatility: 8.15 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+24.03 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Medium_SL (57.1% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Tight_SL (52.4% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Wide_SL (55.8% Win Rate)
2026-05-06 15:15:00,2026-05-06 15:30:00,LONG,4700.43,4694.43,4694.43,4712.43,-600.0,LOSS,85,"SAFEPATH detected (80.4% win rate) with NY_London_Overlap breakout alignment, despite mixed RAG precedents favoring bullish continuation in high-volatility DXY-rising regimes.",--- MATCH #1 (Distance: 0.0012) --- | PAST TAPE: [16:15 UTC] Session: NY London Overlap | 1H Trend: Bearish (-13.86 pts) | DXY is Rising | Volatility: 5.81 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+22.24 pts) |  | --- MATCH #2 (Distance: 0.0014) --- | PAST TAPE: [15:20 UTC] Session: NY London Overlap | 1H Trend: Bearish (-9.01 pts) | DXY is Rising | Volatility: 5.60 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-8.25 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.0% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (53.4% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (80.4% Win Rate)
